flight_no,airline,origin,destination,dep_hour,weather,delay_minutes
US1913,US Airways,CLT,PHL,7,STORM,-7
US2068,US Airways,PHX,CLT,7,STORM,-19
VX404,AirAsia,LAX,JFK,7,CLOUDY,-38
WN713,GoAir,LAS,BUR,7,STORM,-14
WN675,SpiceJet,RDU,LAS,7,SNOW,-3
WN923,Air India,SJU,FLL,7,CLEAR,-3
UA1126,Vistara,IAH,DEN,7,STORM,-18
UA1751,GoAir,PHL,ORD,7,FOG,-12
US506,US Airways,STL,PHX,7,SNOW,1
US623,US Airways,MSP,PHX,7,STORM,-20
AA137,American Airlines,DCA,DFW,7,STORM,-1
AA76,American Airlines,SFO,LAX,7,STORM,5
AA84,American Airlines,JFK,BOS,7,CLOUDY,-1
AA1111,American Airlines,LGA,DFW,7,CLEAR,-4
AA1199,American Airlines,STL,ORD,7,STORM,-15
AA1284,American Airlines,DFW,MCI,7,STORM,33
AA1382,American Airlines,LGA,PBI,7,CLOUDY,-12
AA1695,American Airlines,MCO,MIA,7,STORM,-9
AA1499,American Airlines,DFW,LAS,7,SUNNY,210
B6569,Akasa Air,BOS,FLL,7,SNOW,-25
B6470,SpiceJet,FLL,BOS,7,RAIN,22
B61289,Vistara,EWR,SJU,7,SUNNY,-14
B61702,Air India,FLL,JFK,7,RAIN,-6
DL341,Delta,GSO,ATL,7,CLEAR,-15
DL343,Delta,MSP,PIT,7,CLEAR,8
DL369,Delta,LAX,ATL,7,CLEAR,-19
DL1078,Delta,PNS,ATL,7,CLOUDY,-23
DL1215,Delta,LAS,DTW,7,SNOW,-17
DL1291,Delta,MSP,ATL,7,SNOW,-32
DL2103,Delta,ATL,MIA,7,STORM,-8
DL2171,Delta,SDF,ATL,7,STORM,-20
DL2541,Delta,DFW,DTW,7,SNOW,-25
DL2560,Delta,BWI,SLC,7,CLEAR,-22
DL1836,Delta,CHS,ATL,7,SUNNY,-10
DL1946,Delta,DEN,LGA,7,CLOUDY,-30
B61251,SpiceJet,HPN,RSW,7,STORM,-16
EV3259,Akasa Air,HPN,ORD,7,FOG,13
EV4432,Air India,LBB,IAH,7,CLEAR,10
EV4883,Air India,CAE,ATL,7,SUNNY,-10
EV5948,Vistara,AVP,ORD,7,CLOUDY,-5
F91070,Air India,ORD,ATL,7,SNOW,61
MQ2853,AirAsia,GSO,DFW,7,RAIN,NA
HA118,GoAir,HNL,KOA,7,CLEAR,-14
MQ2807,Akasa Air,SGF,DFW,7,SNOW,NA
MQ3098,IndiGo,SGF,ORD,7,SUNNY,35
MQ3197,GoAir,CID,DFW,7,SUNNY,0
MQ3170,Akasa Air,CMI,ORD,7,CLEAR,-26
MQ3278,GoAir,DFW,BTR,7,SNOW,NA
MQ3286,SpiceJet,DFW,SHV,7,STORM,NA
MQ3439,Akasa Air,DFW,TYS,7,SNOW,NA
MQ3672,IndiGo,COU,ORD,7,CLEAR,67
NK469,Spirit Airlines,FLL,DFW,7,RAIN,0
NK511,Spirit Airlines,FLL,DTW,7,STORM,8
NK311,Spirit Airlines,ACY,MCO,7,SUNNY,-12
OO2593,Akasa Air,RDM,LAX,7,CLOUDY,11
OO4654,AirAsia,HLN,SLC,7,SNOW,2
OO4795,SpiceJet,OKC,SLC,7,CLEAR,-10
OO5470,Vistara,SFO,SMF,7,CLEAR,22
OO6307,SpiceJet,MSP,SFO,7,CLOUDY,-18
OO6344,SpiceJet,DFW,SFO,7,RAIN,-2
OO6537,Akasa Air,SLC,DEN,7,SUNNY,9
OO7376,GoAir,BTM,SLC,7,RAIN,-7
B6461,IndiGo,LGA,PBI,7,SNOW,-27
DL2359,Delta,CVG,RSW,7,FOG,-12
NK163,Spirit Airlines,DFW,ATL,7,FOG,NA
OO4975,Air India,STL,SFO,7,SUNNY,-8
UA1690,GoAir,BOS,DEN,7,RAIN,4
UA1128,Akasa Air,FLL,DEN,7,FOG,14
UA1524,IndiGo,ORD,IAH,7,SUNNY,14
NK478,Spirit Airlines,FLL,ORD,7,SUNNY,-4
UA245,GoAir,CMH,ORD,7,CLOUDY,-5
UA328,Vistara,MIA,DEN,7,CLOUDY,5
US761,US Airways,LAX,CLT,7,CLEAR,-11
US1737,US Airways,TPA,MIA,7,CLOUDY,-17
US1923,US Airways,MEM,CLT,7,RAIN,-28
US2055,US Airways,PHL,MIA,7,SNOW,-26
UA1003,SpiceJet,CLE,MCO,7,FOG,-18
WN931,IndiGo,ATL,MDW,7,CLEAR,-18
WN697,GoAir,ELP,AUS,7,STORM,-3
WN3661,IndiGo,EWR,MDW,7,CLEAR,-7
WN865,GoAir,ISP,MCO,7,RAIN,-26
WN439,IndiGo,MCI,BWI,7,FOG,-14
WN4966,Air India,MCI,MSY,7,FOG,0
WN203,SpiceJet,MCO,BNA,7,SNOW,-14
WN1646,Vistara,SEA,SAN,7,RAIN,-18
WN521,Air India,SJC,LAS,7,CLOUDY,-9
WN2279,IndiGo,SLC,PHX,7,CLOUDY,0
WN1974,Vistara,HOU,PHX,7,CLOUDY,-12
UA1741,SpiceJet,LAX,IAD,7,SNOW,-27
AA83,American Airlines,MCO,DFW,7,SUNNY,-8
AA183,American Airlines,LAS,LAX,7,CLEAR,6
AA1320,American Airlines,DFW,BDL,7,SNOW,-23
AA1423,American Airlines,PBI,DFW,7,SNOW,-18
AA2250,American Airlines,SLC,DFW,7,FOG,1
AS65,Alaska Airlines,SEA,KTN,7,SUNNY,4
AS73,Alaska Airlines,JNU,ANC,7,STORM,30
AS676,Alaska Airlines,SEA,DEN,7,CLOUDY,24
B6350,Air India,TPA,DCA,7,FOG,-11
B651,Vistara,BOS,MCO,7,SUNNY,-13
DL1073,Delta,MSP,PDX,7,STORM,-4
DL1164,Delta,LAX,SLC,7,CLEAR,0
AA1447,American Airlines,RSW,DFW,7,STORM,-3
DL1804,Delta,DTW,FLL,7,CLOUDY,-39
EV2567,Air India,SHV,DFW,7,STORM,125
EV4250,Akasa Air,IAH,IND,7,SNOW,-17
MQ2947,GoAir,DFW,LIT,7,SUNNY,NA
OO2607,IndiGo,LAX,SMF,7,CLOUDY,8
HA115,SpiceJet,OGG,HNL,7,FOG,5
UA1293,GoAir,FLL,EWR,7,SNOW,0
B6221,Air India,BOS,PBI,7,CLOUDY,-22
EV4183,AirAsia,CLE,IAH,7,SNOW,-5
UA1001,SpiceJet,ORD,EWR,7,SUNNY,-23
F9787,IndiGo,DEN,PDX,7,CLEAR,-18
WN3563,IndiGo,BDL,RSW,7,FOG,-6
WN1370,AirAsia,IND,BWI,7,STORM,-34
WN883,Akasa Air,LAS,DAL,7,SNOW,-2
WN1126,GoAir,LAS,SAT,7,STORM,-1
WN27,Air India,LAX,DAL,7,STORM,-1
WN905,Vistara,MCO,DAL,7,FOG,-10
WN1144,GoAir,MCO,STL,7,FOG,-10
WN651,SpiceJet,PHX,HOU,7,SNOW,-8
WN1133,Akasa Air,SMF,PHX,7,CLOUDY,23
WN742,IndiGo,TPA,ATL,7,STORM,17
WN398,AirAsia,TUL,DAL,7,CLOUDY,-13
US582,US Airways,LAX,PHX,7,RAIN,-20
AA1119,American Airlines,MCI,DFW,7,FOG,1
AA1240,American Airlines,DFW,SJC,7,SNOW,2
AA1532,American Airlines,DEN,DFW,7,SNOW,0
AA1539,American Airlines,RDU,ORD,7,FOG,12
AA1616,American Airlines,AUS,DFW,7,RAIN,NA
AA2332,American Airlines,DFW,ORD,7,SNOW,NA
B6885,SpiceJet,JFK,RDU,7,RAIN,-8
B6954,Vistara,SJU,FLL,7,RAIN,-7
B61307,Vistara,JFK,IAD,7,SUNNY,-18
DL2245,Delta,RSW,MSP,7,STORM,-14
DL240,Delta,SFO,ATL,7,CLEAR,170
DL1556,Delta,MCO,MSP,7,CLOUDY,-7
DL1625,Delta,BWI,ATL,7,SNOW,-10
B6163,Air India,JFK,SRQ,7,FOG,-10
F9137,IndiGo,DEN,SEA,7,CLEAR,-21
F9935,SpiceJet,TTN,CVG,7,CLEAR,3
MQ2831,GoAir,DFW,TUL,7,STORM,NA
MQ2902,Air India,DFW,GRK,7,STORM,NA
MQ3016,SpiceJet,DFW,PNS,7,CLEAR,NA
MQ2978,Vistara,XNA,ORD,7,SNOW,-40
MQ3115,GoAir,MEM,ORD,7,CLOUDY,15
MQ3194,Air India,OKC,ORD,7,CLEAR,16
OO2616,AirAsia,MRY,LAX,7,SNOW,-23
NK404,Spirit Airlines,FLL,ATL,7,FOG,9
OO6241,AirAsia,OKC,SFO,7,SUNNY,-7
UA1199,Air India,SJU,IAH,7,FOG,-2
UA1238,IndiGo,SLC,IAH,7,CLOUDY,27
OO6322,GoAir,LAX,SAN,7,FOG,101
UA794,Akasa Air,IAD,ORD,7,FOG,7
AA1556,American Airlines,MIA,PHL,7,CLOUDY,-12
EV3952,AirAsia,MCI,ORD,7,SUNNY,-18
OO4978,SpiceJet,BOI,IAH,7,RAIN,196
OO5208,Akasa Air,IAH,MIA,7,SNOW,17
UA211,IndiGo,FLL,IAH,7,CLOUDY,23
UA1219,Air India,AUS,DEN,7,SNOW,-2
EV4498,AirAsia,ORD,BTV,7,RAIN,-9
OO5622,SpiceJet,ORD,DSM,7,SUNNY,3
UA1539,IndiGo,PHL,IAH,7,CLEAR,9
UA408,AirAsia,SFO,IAD,7,SNOW,-14
US1707,US Airways,BNA,CLT,7,SUNNY,11
US1730,US Airways,STL,CLT,7,STORM,-8
US1752,US Airways,AUS,PHL,7,SNOW,-7
US1853,US Airways,ATL,PHX,7,FOG,-11
UA546,Akasa Air,SAN,IAD,7,STORM,-30
UA561,GoAir,LGA,DEN,7,CLEAR,-4
WN371,GoAir,CLT,BWI,7,SNOW,-20
WN414,IndiGo,DAL,ATL,7,CLOUDY,-8
WN841,IndiGo,DAL,FLL,7,RAIN,-9
WN348,SpiceJet,DAL,LAS,7,SUNNY,-13
WN766,AirAsia,DAL,PHX,7,SUNNY,1
WN1155,GoAir,MDW,DEN,7,CLEAR,-8
WN598,AirAsia,MSY,LAS,7,SUNNY,-21
WN972,IndiGo,PIT,LAS,7,SUNNY,35
WN706,GoAir,SLC,DEN,7,RAIN,-5
WN32,Akasa Air,STL,MDW,7,CLEAR,-16
WN716,AirAsia,PBI,ATL,7,CLOUDY,-4
UA1480,GoAir,MIA,EWR,7,SUNNY,-12
US584,US Airways,CLE,PHX,7,SNOW,6
AA376,American Airlines,DFW,IND,7,RAIN,9
AA1146,American Airlines,DFW,SEA,7,SUNNY,-18
AA1267,American Airlines,TPA,ORD,7,SUNNY,6
AA1278,American Airlines,DFW,DTW,7,SUNNY,-16
AA2471,American Airlines,FLL,DFW,7,RAIN,4
AS506,Alaska Airlines,SEA,SNA,7,RAIN,-9
B61033,AirAsia,MCO,SJU,7,RAIN,-27
B61273,IndiGo,JFK,CHS,7,STORM,-12
DL553,Delta,SAT,ATL,7,SUNNY,-21
DL732,Delta,JAX,ATL,7,SNOW,-20
DL807,Delta,EWR,ATL,7,RAIN,-19
DL968,Delta,SEA,ATL,7,RAIN,-6
DL986,Delta,ATL,LGA,7,FOG,34
DL1237,Delta,SAV,ATL,7,STORM,-3
DL1430,Delta,BNA,ATL,7,SUNNY,-22
DL1460,Delta,MIA,ATL,7,SNOW,27
DL2648,Delta,TPA,JFK,7,STORM,-15
DL1927,Delta,FLL,ATL,7,SUNNY,-7
DL1950,Delta,SLC,DTW,7,STORM,-15
EV4691,SpiceJet,EWR,DAY,7,FOG,3
EV5565,SpiceJet,OKC,DTW,7,SNOW,-3
EV5961,IndiGo,SCE,ORD,7,STORM,-6
EV6019,Air India,ELM,ORD,7,SUNNY,10
EV6144,SpiceJet,SYR,ORD,7,CLOUDY,10
F9722,SpiceJet,DEN,DCA,7,SUNNY,-14
MQ2952,IndiGo,GRB,ORD,7,CLEAR,-37
MQ3015,SpiceJet,BTR,DFW,7,CLOUDY,NA
OO5161,IndiGo,DCA,ORD,7,STORM,4
OO5237,IndiGo,MKE,IAH,7,RAIN,NA
OO5489,SpiceJet,ASE,IAH,7,RAIN,19
OO6539,Air India,COS,ORD,7,CLEAR,-8
B6644,IndiGo,PBI,EWR,7,CLEAR,1
EV4258,Akasa Air,CLT,IAH,7,RAIN,9
OO7389,AirAsia,RKS,SLC,7,SUNNY,-11
UA1547,Air India,MCO,IAH,7,STORM,-5
B61236,AirAsia,SJU,STT,7,SUNNY,-16
OO7428,Vistara,PIH,SLC,7,RAIN,-10
OO5235,IndiGo,IAH,AUS,7,CLOUDY,57
VX474,AirAsia,LAX,LAS,7,CLEAR,-16
WN685,IndiGo,BUF,PHX,7,CLOUDY,25
WN573,Akasa Air,DAL,TUL,7,CLEAR,-11
WN621,Air India,HOU,ATL,7,CLEAR,-13
WN670,GoAir,MKE,PHX,7,STORM,0
WN1036,GoAir,STL,MCO,7,SUNNY,-16
UA1171,Akasa Air,PHL,DEN,7,SNOW,-1
UA1732,Akasa Air,MIA,IAH,7,RAIN,-1
UA1736,AirAsia,CLE,TPA,7,SUNNY,-16
UA1763,Air India,RSW,ORD,7,STORM,-14
AA289,American Airlines,BOS,ORD,7,RAIN,-4
AA1126,American Airlines,SMF,DFW,7,STORM,41
AA1108,American Airlines,DFW,LGA,7,CLEAR,-10
AA1476,American Airlines,ICT,DFW,7,FOG,NA
AA1541,American Airlines,BOS,MIA,7,SNOW,11
AA1688,American Airlines,DFW,DCA,7,RAIN,-11
AS30,Alaska Airlines,PDX,BOS,7,RAIN,-29
AS482,Alaska Airlines,SEA,LAX,7,SNOW,-11
AS520,Alaska Airlines,SEA,BUR,7,CLEAR,1
AS743,Alaska Airlines,SLC,SFO,7,CLEAR,4
DL1593,Delta,MEM,ATL,7,CLEAR,-24
EV2514,SpiceJet,DFW,OKC,7,STORM,NA
EV4287,Akasa Air,MOB,IAH,7,CLEAR,4
EV5925,Vistara,RIC,ORD,7,FOG,25
HA45,AirAsia,SJC,OGG,7,FOG,2
MQ2803,Vistara,CMH,ORD,7,SNOW,-38
NK135,Spirit Airlines,MSP,MCO,7,CLEAR,5
NK718,Spirit Airlines,DFW,LGA,7,FOG,67
OO4854,Vistara,SUN,SLC,7,STORM,12
OO4460,Akasa Air,LWS,SLC,7,STORM,8
OO4527,Air India,IDA,SLC,7,SUNNY,-5
OO5614,IndiGo,LAS,LAX,7,CLEAR,-5
OO6613,SpiceJet,PSP,PHX,7,RAIN,-23
UA1592,SpiceJet,EWR,MCO,7,STORM,28
EV4424,IndiGo,EWR,RDU,7,RAIN,-9
UA1440,Akasa Air,ORD,FLL,7,CLOUDY,-21
UA1729,Vistara,EWR,SEA,7,SNOW,-2
WN689,SpiceJet,AUS,LAS,7,SNOW,21
WN672,Vistara,BNA,STL,7,FOG,-4
WN701,SpiceJet,BUR,LAS,7,SUNNY,57
WN667,Akasa Air,BWI,MCO,7,SUNNY,-10
WN448,Air India,BWI,TPA,7,FOG,-4
WN388,IndiGo,FLL,HOU,7,CLEAR,-11
WN3751,Air India,GSP,HOU,7,FOG,2
WN1989,GoAir,LAS,MKE,7,CLOUDY,-20
WN386,IndiGo,MCI,LAS,7,FOG,-14
WN304,Air India,PBI,BWI,7,CLOUDY,-6
UA1105,GoAir,DEN,EWR,7,SNOW,-31
UA1250,AirAsia,DEN,MCO,7,CLEAR,8
UA1753,AirAsia,DEN,SFO,7,RAIN,-9
AA23,American Airlines,DFW,SFO,7,SNOW,49
AA94,American Airlines,SAN,JFK,7,SUNNY,-24
AA1090,American Airlines,DFW,SNA,7,CLEAR,NA
AA1661,American Airlines,DFW,MCO,7,CLEAR,4
AA1642,American Airlines,DFW,EWR,7,SUNNY,6
B6841,AirAsia,JFK,SAV,7,CLOUDY,-17
B61169,AirAsia,RIC,MCO,7,FOG,-26
DL1169,Delta,MIA,LAX,7,CLEAR,-3
DL2088,Delta,STL,SLC,7,CLEAR,-14
DL326,Delta,SJU,JFK,7,STORM,3
EV4682,SpiceJet,LIT,IAH,7,FOG,8
MQ3047,Air India,TYS,ORD,7,STORM,224
MQ3375,IndiGo,DFW,XNA,7,SUNNY,NA
OO2606,Air India,FAT,LAX,7,RAIN,-8
EV5787,Akasa Air,TUL,IAH,7,RAIN,-9
OO5389,IndiGo,SBP,LAX,7,SNOW,26
OO5595,Akasa Air,ASE,DEN,7,CLEAR,21
OO5178,Air India,DEN,COS,7,STORM,15
OO6332,GoAir,DEN,GJT,7,FOG,-8
UA315,GoAir,OKC,IAH,7,CLOUDY,23
UA1216,Akasa Air,EWR,SJU,7,RAIN,-24
B6433,AirAsia,DCA,PBI,7,FOG,-24
EV5700,IndiGo,CAE,ORD,7,RAIN,3
OO7401,Air India,VEL,SLC,7,RAIN,104
OO6375,Vistara,DEN,BZN,7,STORM,12
UA419,IndiGo,EWR,TPA,7,STORM,-14
UA756,IndiGo,DEN,IAH,7,FOG,-2
UA910,Air India,DEN,ORD,7,RAIN,-11
UA1104,GoAir,DEN,IAH,7,SUNNY,24
EV4389,IndiGo,CLT,ORD,7,RAIN,9
OO5506,AirAsia,SLC,ORD,7,RAIN,25
US2093,US Airways,LGA,CLT,7,FOG,6
UA1417,AirAsia,EWR,CLE,7,CLOUDY,-14
AA361,American Airlines,EWR,MIA,7,CLOUDY,5
DL2280,Delta,LGA,TPA,7,SUNNY,-33
DL1647,Delta,LGA,ATL,7,SUNNY,-26
OO6209,SpiceJet,DEN,SNA,7,SNOW,14
OO5313,AirAsia,DEN,PUB,8,SNOW,-6
OO4836,IndiGo,LAS,SLC,8,RAIN,-1
UA322,GoAir,SNA,SFO,8,CLEAR,-1
UA332,Akasa Air,BWI,IAH,8,CLOUDY,14
UA401,IndiGo,EWR,DEN,8,CLOUDY,13
US727,US Airways,PIT,LAX,8,CLOUDY,-6
US858,US Airways,ALB,CLT,8,CLOUDY,-8
US1735,US Airways,PVD,CLT,8,RAIN,2
US1773,US Airways,PBI,PHL,8,SUNNY,-15
UA500,AirAsia,IND,SFO,8,SNOW,-34
UA662,SpiceJet,SAN,SFO,8,STORM,9
UA834,GoAir,LAS,SFO,8,SNOW,-30
VX1493,SpiceJet,LAS,LAX,8,CLEAR,-6
VX174,Akasa Air,SFO,EWR,8,CLOUDY,-31
VX1930,IndiGo,SFO,LAX,8,FOG,-6
VX1,GoAir,SFO,DCA,8,CLEAR,-22
VX219,Vistara,AUS,SFO,8,CLOUDY,-16
VX501,AirAsia,JFK,FLL,8,RAIN,-7
WN2868,GoAir,DAL,DCA,8,SNOW,-32
WN442,Vistara,DTW,LAS,8,CLEAR,-19
WN446,SpiceJet,LAS,BOI,8,FOG,-16
WN4657,GoAir,LAS,MDW,8,FOG,-13
WN1768,GoAir,LAS,PHX,8,FOG,-12
WN688,GoAir,MEM,MDW,8,CLOUDY,-25
WN1874,Akasa Air,MSY,DCA,8,SNOW,-12
WN788,IndiGo,ABQ,PHX,8,CLOUDY,20
WN4300,SpiceJet,PVD,BWI,8,SUNNY,-20
WN1847,SpiceJet,PVD,MCO,8,RAIN,-15
WN119,Air India,RSW,ATL,8,RAIN,-11
WN336,IndiGo,SAN,SEA,8,CLEAR,-10
WN3133,Akasa Air,HOU,HRL,8,SNOW,4
UA1107,SpiceJet,MCO,EWR,8,RAIN,-14
UA1130,Akasa Air,LAX,ORD,8,SNOW,-28
UA1218,GoAir,SEA,DEN,8,RAIN,15
UA1523,Vistara,BOS,SFO,8,CLEAR,-10
UA1610,IndiGo,ORD,MCO,8,SUNNY,3
UA1620,Akasa Air,ORD,LGA,8,SUNNY,-21
UA1630,Akasa Air,CLE,ORD,8,STORM,-9
US514,US Airways,IAH,MIA,8,SNOW,-21
US522,US Airways,MCO,DCA,8,RAIN,-16
US540,US Airways,PHX,DFW,8,RAIN,35
AA15,American Airlines,JFK,SFO,8,RAIN,48
AA190,American Airlines,JFK,ORD,8,CLEAR,2
AA206,American Airlines,DFW,MIA,8,CLOUDY,78
AA306,American Airlines,LAX,MIA,8,SNOW,-13
AA1141,American Airlines,STL,DFW,8,SUNNY,-6
AA1275,American Airlines,JFK,STT,8,RAIN,-20
AA1316,American Airlines,SNA,DFW,8,CLOUDY,-9
AA1326,American Airlines,TUL,ORD,8,CLEAR,21
AA1422,American Airlines,DFW,HDN,8,SNOW,78
AA1081,American Airlines,IAD,LAX,8,CLOUDY,2
AA1677,American Airlines,DFW,MEM,8,CLEAR,94
AA2255,American Airlines,DFW,RIC,8,SNOW,-12
AA2287,American Airlines,JAC,DFW,8,CLEAR,21
AA2381,American Airlines,LAX,MCO,8,RAIN,-11
AA2470,American Airlines,DFW,BOS,8,CLOUDY,21
AA2428,American Airlines,LAX,DFW,8,SNOW,-10
AA2413,American Airlines,DFW,LAX,8,STORM,129
AS1,Alaska Airlines,DCA,SEA,8,SNOW,-23
AS8,Alaska Airlines,SEA,EWR,8,CLOUDY,-21
AS23,Alaska Airlines,ORD,SEA,8,RAIN,-27
AS62,Alaska Airlines,ANC,JNU,8,SNOW,-2
AS83,Alaska Airlines,SEA,ANC,8,SNOW,-22
AS337,Alaska Airlines,SJC,SEA,8,CLOUDY,1
AS493,Alaska Airlines,SAN,SEA,8,SNOW,-5
AS527,Alaska Airlines,SNA,SEA,8,SUNNY,-32
AS626,Alaska Airlines,PDX,LAS,8,SUNNY,-14
AS637,Alaska Airlines,PHX,SEA,8,SUNNY,-17
AS665,Alaska Airlines,DFW,SEA,8,RAIN,7
AS679,Alaska Airlines,DEN,SEA,8,SUNNY,-30
AS690,Alaska Airlines,SEA,GEG,8,CLOUDY,2
B6113,GoAir,HPN,FLL,8,SUNNY,-20
B6287,SpiceJet,BOS,LAX,8,SNOW,-4
B6434,SpiceJet,SFO,BOS,8,FOG,-6
B6617,Vistara,BOS,JFK,8,SUNNY,-2
B6677,SpiceJet,JFK,JAX,8,RAIN,-19
B61015,Air India,JAX,FLL,8,CLEAR,-7
B61347,AirAsia,DCA,SJU,8,RAIN,-40
B61783,Vistara,JFK,MCO,8,CLOUDY,-7
B61888,IndiGo,MCO,ORH,8,CLOUDY,-10
DL428,Delta,JFK,TPA,8,FOG,-25
DL786,Delta,DFW,MSP,8,RAIN,55
DL819,Delta,BOS,MSP,8,RAIN,2
DL873,Delta,STT,ATL,8,CLEAR,-4
DL878,Delta,OMA,DTW,8,FOG,-11
DL994,Delta,FLL,LGA,8,SUNNY,-15
DL1139,Delta,DCA,ATL,8,SNOW,-22
DL1382,Delta,SJU,ATL,8,RAIN,-14
DL1465,Delta,TPA,MSP,8,SUNNY,-13
DL1969,Delta,ABQ,ATL,8,FOG,-9
DL1972,Delta,AUS,JFK,8,SUNNY,0
DL2030,Delta,MDW,ATL,8,SUNNY,19
DL2226,Delta,ATL,FLL,8,FOG,-13
DL2325,Delta,LGA,FLL,8,CLEAR,-21
DL2339,Delta,PBI,LGA,8,CLEAR,-9
DL2395,Delta,LGA,PBI,8,CLOUDY,-27
DL2494,Delta,JFK,MSP,8,CLEAR,27
DL2594,Delta,LGA,DEN,8,CLOUDY,-3
DL2611,Delta,DTW,PBI,8,SUNNY,-8
DL2655,Delta,JFK,RSW,8,CLEAR,-27
DL1616,Delta,DEN,ATL,8,STORM,-17
DL1758,Delta,BZN,ATL,8,CLEAR,-12
DL1904,Delta,FLL,DTW,8,RAIN,10
DL1930,Delta,PHX,MSP,8,CLOUDY,3
B61511,Vistara,EWR,RSW,8,CLOUDY,-24
B61586,Air India,MCO,BUF,8,CLEAR,0
EV5086,IndiGo,SAV,LGA,8,STORM,-12
EV6070,GoAir,XNA,DEN,8,SNOW,-8
EV6120,Air India,EWR,SYR,8,CLEAR,7
EV6016,AirAsia,BNA,DEN,8,STORM,-4
EV6073,Vistara,SAF,DEN,8,RAIN,33
F9657,SpiceJet,DEN,SFO,8,CLEAR,-26
HA10,Air India,HNL,LAX,8,CLEAR,-12
HA35,IndiGo,PHX,HNL,8,RAIN,4
HA337,Akasa Air,KOA,HNL,8,RAIN,-4
HA116,AirAsia,HNL,OGG,8,SNOW,-4
MQ2780,Vistara,DFW,MKE,8,FOG,NA
MQ2797,SpiceJet,LEX,ORD,8,CLEAR,-12
MQ2912,Air India,STL,LGA,8,CLOUDY,14
MQ2891,Akasa Air,PIA,ORD,8,SUNNY,25
MQ3065,Air India,DFW,GSO,8,STORM,NA
MQ3154,Vistara,DFW,VPS,8,CLOUDY,NA
MQ3320,IndiGo,DFW,LAW,8,FOG,NA
MQ3389,Akasa Air,XNA,DFW,8,CLOUDY,NA
EV4316,AirAsia,SAV,IAH,8,CLEAR,15
NK218,Spirit Airlines,FLL,ACY,8,SNOW,18
NK858,Spirit Airlines,SAN,IAH,8,STORM,-7
OO5298,GoAir,MKE,ORD,8,RAIN,-13
OO6283,GoAir,PSP,SFO,8,SNOW,179
OO6240,Akasa Air,MCI,SFO,8,CLEAR,65
OO3497,Air India,COS,SEA,8,SNOW,-35
OO3499,AirAsia,SLC,PDX,8,CLEAR,38
OO2583,Vistara,LAX,SAN,8,SNOW,-12
OO5556,Air India,ORD,DCA,8,SNOW,-16
OO6464,SpiceJet,COS,SFO,8,CLOUDY,-20
OO6580,GoAir,YUM,PHX,8,FOG,78
OO6615,SpiceJet,FLG,PHX,8,CLEAR,NA
OO6487,SpiceJet,SBA,SFO,8,STORM,-8
OO6521,IndiGo,DEN,SAN,8,FOG,41
UA559,Akasa Air,DCA,IAH,8,RAIN,-9
NK562,Spirit Airlines,LAS,DEN,8,CLEAR,-5
UA1235,Air India,IAD,SFO,8,CLOUDY,1
UA1492,GoAir,MCO,ORD,8,STORM,-1
UA1596,AirAsia,SFO,DEN,8,FOG,18
B6219,GoAir,JFK,CLT,8,SNOW,-10
OO6394,Akasa Air,FCA,DEN,8,FOG,18
EV6058,GoAir,MCI,IAD,8,STORM,-23
UA456,SpiceJet,DEN,LAX,8,CLEAR,-5
B61226,Vistara,BWI,BOS,8,RAIN,-14
DL1689,Delta,MIA,DTW,8,CLEAR,-6
OO5241,Vistara,DEN,SAT,8,SNOW,14
OO6431,IndiGo,LAX,SAT,8,SNOW,24
US879,US Airways,BDL,CLT,8,SNOW,16
US1803,US Airways,DEN,PHX,8,SUNNY,10
US2077,US Airways,EWR,CLT,8,SNOW,25
WN696,Air India,ATL,HOU,8,CLEAR,-3
WN801,Vistara,BOS,BWI,8,SUNNY,-19
WN1824,SpiceJet,BWI,BOS,8,SNOW,-9
WN495,IndiGo,DAL,STL,8,FOG,-15
WN678,SpiceJet,GRR,DEN,8,STORM,-16
WN662,IndiGo,MCI,DAL,8,RAIN,-10
WN393,IndiGo,MSY,DEN,8,SNOW,-3
WN1629,Air India,PHX,MDW,8,STORM,-18
WN356,SpiceJet,ROC,MDW,8,SNOW,-6
WN500,AirAsia,STL,BWI,8,RAIN,NA
WN372,Vistara,TPA,HOU,8,CLOUDY,-26
UA1073,Akasa Air,IAD,DEN,8,CLEAR,31
UA1156,AirAsia,DEN,RSW,8,RAIN,-14
UA1173,Vistara,SFO,HNL,8,CLEAR,17
UA1454,IndiGo,ORD,LAS,8,SUNNY,-5
UA1646,Akasa Air,MSY,IAH,8,SNOW,-1
UA1686,SpiceJet,IAD,TPA,8,SNOW,17
US534,US Airways,IAH,PHX,8,STORM,4
US625,US Airways,OMA,PHX,8,RAIN,11
AA31,American Airlines,LAX,HNL,8,CLEAR,20
AA110,American Airlines,SNA,ORD,8,STORM,-23
AA1274,American Airlines,SAT,DFW,8,RAIN,NA
AA1577,American Airlines,TUL,DFW,8,STORM,-9
AA1680,American Airlines,LAS,DFW,8,CLEAR,-6
AA2286,American Airlines,DFW,SAT,8,SNOW,NA
AS16,Alaska Airlines,SEA,MCO,8,RAIN,9
DL1105,Delta,ATL,SLC,8,SUNNY,-16
DL1308,Delta,AUS,ATL,8,CLEAR,-5
AA1460,American Airlines,DFW,PHX,8,CLEAR,NA
DL2027,Delta,LGA,MCO,8,SNOW,-6
F9769,Air India,DEN,LAS,8,FOG,-15
